,positivo_score
da agilidade,0.00013935442051839567
produto dentro das expectativas,0.0001393393614454376
correto antes do prazo,0.00015264465479423366
produtos bons,0.0001391169730486388
vcs estão de parabéns,0.0001389786011691297
em perfeito estado recomendo,0.00014735710545676732
rapido entrega,0.00017316448843448812
adorei cortina,0.0001386979020727689
atendimento ótimo,0.0001386213534378452
eu gostei muito,0.00019149928872276385
bom produto entregue antes,0.00013824125180198304
obrigado pela atenção,0.0001598047992975047
moderno,0.00013815190438601767
veio tudo certo,0.0001994597163684803
vendedor entrega,0.00014872021469641914
muito bom entrega foi,0.00013776158588757852
no prazo tudo certo,0.00013775013159718932
bem embalado em perfeito,0.00013750482051766677
muito bom vendedor,0.00013736122590671918
produto dentro do prazo,0.00031827242773933774
muito bom super recomendo,0.00013692219124677134
parabens pela,0.00013685404059729788
funciona muito bem,0.00014824830584538712
ainda não instalei mas,0.00013627763145554892
tudo como combinado,0.00016580822290260998
bem embalado no prazo,0.0001360045056308999
ótimo trabalho,0.00013589741982986893
tudo ok produto,0.00013565862656631756
potente,0.00016204374967558613
produto entregue muito antes,0.000135556121765309
perfeito estado antes do,0.00014458398237975767
dias antes do previsto,0.00013507309072919164
lindos de,0.00013504257270704136
competente,0.00015880270528058067
tudo 100,0.00013487070230478438
no prazo excelente,0.00013484353934886206
produto entregue como,0.00014616081879565072
entrega rápida dentro do,0.00013481287141376682
entrega rápida produto excelente,0.00013469085710935875
pontualidade na entrega,0.00013457790815947553
já usei,0.00015057183409553229
ótimo chegou antes do,0.00013440805352093067
produto excelente loja,0.00013404258959768417
muito bom chegou no,0.00013398179657392672
designer,0.0001339088689905795
produto dentro do esperado,0.0002029073258307383
chegou antes do combinado,0.00013332147285206736
em tempo hábil,0.00017379387609852787
recebi produto certo,0.00014827007832874487
produto ótimo entregue,0.00013307847447014185
preço acessível,0.00013301274111321825
parabéns pela eficiência,0.0001328802046789712
recebido conforme,0.00017409072484710864
correto dentro do prazo,0.00013250888077591283
ideal para,0.000132485414572824
tudo certo dentro do,0.00014279703486344704
da data prevista produto,0.00013235550708959123
atendeu expectativa,0.0001323315027052107
um excelente produto,0.0001322254065009057
certo antes do prazo,0.00016911238988591258
dentro do prazo conforme,0.00013204835385932634
parabéns baratheon,0.0001320330778815499
produto entregue sem problemas,0.00013196641591732694
otimo serviço,0.0001316820204408438
só tenho agradecer,0.0001316375748240898
recebido dentro do prazo,0.00013145404603653172
do prazo estipulado recomendo,0.00013144686802028004
chegou no prazo correto,0.00013142243677525303
pode confiar,0.00013141960181829019
prazo em ótimas condições,0.00013126852619151135
amei recomendo,0.00016384699456619052
antes da data de,0.0001312433133276604
tão rápido,0.00013114686405654255
vcs são,0.00015903696549919672
igualzinho,0.00013081685309132045
em perfeita ordem,0.00013070364845638188
prazer,0.00013062812992404034
eu indico,0.00015649024292561505
muito ágil,0.00013052126527431657
otimo preço,0.00013050487769413456
gostei muito entrega,0.00013038075557636356
indico todos,0.00013031492555433177
funciona bem,0.00020367398520280828
no prazo super recomendo,0.00013018374445928512
